v_products_model	v_products_image	v_products_name_2	v_products_description_2	v_products_url_2	v_products_name_1	v_products_description_1	v_products_url_1	v_specials_price	v_specials_date_avail	v_specials_expires_date	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
PC-TWOF	gt_interactive/wheel_of_time.gif	The Wheel Of Time Linked	The world in which The Wheel of Time takes place is lifted directly out of Jordan's pages; it's huge and consists of many different environments. How you navigate the world will depend largely on which game - single player or multipayer - you're playing. The single player experience, with a few exceptions, will see Elayna traversing the world mainly by foot (with a couple notable exceptions). In the multiplayer experience, your character will have more access to travel via Ter'angreal, Portal Stones, and the Ways. However you move around, though, you'll quickly discover that means of locomotion can easily become the least of the your worries...<br /><br />During your travels, you quickly discover that four locations are crucial to your success in the game. Not surprisingly, these locations are the homes of The Wheel of Time's main characters. Some of these places are ripped directly from the pages of Jordan's books, made flesh with Legend's unparalleled pixel-pushing ways. Other places are specific to the game, conceived and executed with the intent of expanding this game world even further. Either way, they provide a backdrop for some of the most intense first person action and strategy you'll have this year.	www.wheeloftime.com	The Wheel Of Time Linked	The world in which The Wheel of Time takes place is lifted directly out of Jordan's pages; it's huge and consists of many different environments. How you navigate the world will depend largely on which game - single player or multipayer - you're playing. The single player experience, with a few exceptions, will see Elayna traversing the world mainly by foot (with a couple notable exceptions). In the multiplayer experience, your character will have more access to travel via Ter'angreal, Portal Stones, and the Ways. However you move around, though, you'll quickly discover that means of locomotion can easily become the least of the your worries...<br /><br />During your travels, you quickly discover that four locations are crucial to your success in the game. Not surprisingly, these locations are the homes of The Wheel of Time's main characters. Some of these places are ripped directly from the pages of Jordan's books, made flesh with Legend's unparalleled pixel-pushing ways. Other places are specific to the game, conceived and executed with the intent of expanding this game world even further. Either way, they provide a backdrop for some of the most intense first person action and strategy you'll have this year.	www.wheeloftime.com				99.99	10	0000-00-00 00:00:00	2003-11-03 12:32:17	15	GT Interactive	Car Accessories	Car Air Purifier						Taxable Goods	1	EOREOR
PC-TWOF	gt_interactive/wheel_of_time.gif	The Wheel Of Time Linked	The world in which The Wheel of Time takes place is lifted directly out of Jordan's pages; it's huge and consists of many different environments. How you navigate the world will depend largely on which game - single player or multipayer - you're playing. The single player experience, with a few exceptions, will see Elayna traversing the world mainly by foot (with a couple notable exceptions). In the multiplayer experience, your character will have more access to travel via Ter'angreal, Portal Stones, and the Ways. However you move around, though, you'll quickly discover that means of locomotion can easily become the least of the your worries...<br /><br />During your travels, you quickly discover that four locations are crucial to your success in the game. Not surprisingly, these locations are the homes of The Wheel of Time's main characters. Some of these places are ripped directly from the pages of Jordan's books, made flesh with Legend's unparalleled pixel-pushing ways. Other places are specific to the game, conceived and executed with the intent of expanding this game world even further. Either way, they provide a backdrop for some of the most intense first person action and strategy you'll have this year.	www.wheeloftime.com	The Wheel Of Time Linked	The world in which The Wheel of Time takes place is lifted directly out of Jordan's pages; it's huge and consists of many different environments. How you navigate the world will depend largely on which game - single player or multipayer - you're playing. The single player experience, with a few exceptions, will see Elayna traversing the world mainly by foot (with a couple notable exceptions). In the multiplayer experience, your character will have more access to travel via Ter'angreal, Portal Stones, and the Ways. However you move around, though, you'll quickly discover that means of locomotion can easily become the least of the your worries...<br /><br />During your travels, you quickly discover that four locations are crucial to your success in the game. Not surprisingly, these locations are the homes of The Wheel of Time's main characters. Some of these places are ripped directly from the pages of Jordan's books, made flesh with Legend's unparalleled pixel-pushing ways. Other places are specific to the game, conceived and executed with the intent of expanding this game world even further. Either way, they provide a backdrop for some of the most intense first person action and strategy you'll have this year.	www.wheeloftime.com				99.99	10	0000-00-00 00:00:00	2003-11-03 12:32:17	15	GT Interactive	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
PC-DISC	gt_interactive/disciples.gif	Disciples: Sacred Lands Linked	A new age is dawning...<br /><br />Enter the realm of the Sacred Lands, where the dawn of a New Age has set in motion the most momentous of wars. As the prophecies long foretold, four races now clash with swords and sorcery in a desperate bid to control the destiny of their gods. Take on the quest as a champion of the Empire, the Mountain Clans, the Legions of the Damned, or the Undead Hordes and test your faith in battles of brute force, spellbinding magic and acts of guile. Slay demons, vanquish giants and combat merciless forces of the dead and undead. But to ensure the salvation of your god, the hero within must evolve.<br /><br />The day of reckoning has come... and only the chosen will survive.		Disciples: Sacred Lands Linked	A new age is dawning...<br /><br />Enter the realm of the Sacred Lands, where the dawn of a New Age has set in motion the most momentous of wars. As the prophecies long foretold, four races now clash with swords and sorcery in a desperate bid to control the destiny of their gods. Take on the quest as a champion of the Empire, the Mountain Clans, the Legions of the Damned, or the Undead Hordes and test your faith in battles of brute force, spellbinding magic and acts of guile. Slay demons, vanquish giants and combat merciless forces of the dead and undead. But to ensure the salvation of your god, the hero within must evolve.<br /><br />The day of reckoning has come... and only the chosen will survive.					90	8	0000-00-00 00:00:00	2003-11-03 12:32:17	6	GT Interactive	Car Accessories	Car Air Purifier						Taxable Goods	1	EOREOR
PC-DISC	gt_interactive/disciples.gif	Disciples: Sacred Lands Linked	A new age is dawning...<br /><br />Enter the realm of the Sacred Lands, where the dawn of a New Age has set in motion the most momentous of wars. As the prophecies long foretold, four races now clash with swords and sorcery in a desperate bid to control the destiny of their gods. Take on the quest as a champion of the Empire, the Mountain Clans, the Legions of the Damned, or the Undead Hordes and test your faith in battles of brute force, spellbinding magic and acts of guile. Slay demons, vanquish giants and combat merciless forces of the dead and undead. But to ensure the salvation of your god, the hero within must evolve.<br /><br />The day of reckoning has come... and only the chosen will survive.		Disciples: Sacred Lands Linked	A new age is dawning...<br /><br />Enter the realm of the Sacred Lands, where the dawn of a New Age has set in motion the most momentous of wars. As the prophecies long foretold, four races now clash with swords and sorcery in a desperate bid to control the destiny of their gods. Take on the quest as a champion of the Empire, the Mountain Clans, the Legions of the Damned, or the Undead Hordes and test your faith in battles of brute force, spellbinding magic and acts of guile. Slay demons, vanquish giants and combat merciless forces of the dead and undead. But to ensure the salvation of your god, the hero within must evolve.<br /><br />The day of reckoning has come... and only the chosen will survive.					90	8	0000-00-00 00:00:00	2003-11-03 12:32:17	6	GT Interactive	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
MSINTKB	12194655790.jpg,12194655811.jpg,12194655822.jpg	Microsoft Internet Keyboard PS/2	The Internet Keyboard has 10 Hot Keys on a comfortable standard keyboard design that also includes a detachable palm rest. The Hot Keys allow you to browse the web, or check e-mail directly from your keyboard. The IntelliType Pro software also allows you to customize your hot keys - make the Internet Keyboard work the way you want it to!		Microsoft Internet Keyboard PS/2	The Internet Keyboard has 10 Hot Keys on a comfortable standard keyboard design that also includes a detachable palm rest. The Hot Keys allow you to browse the web, or check e-mail directly from your keyboard. The IntelliType Pro software also allows you to customize your hot keys - make the Internet Keyboard work the way you want it to!					69.99	8	0000-00-00 00:00:00	2003-11-03 12:32:17	76	Microsoft	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - by attributes with Special% no SALE	The Product Price is set to 0.00 Special is set to 20%  <br /><br />    The Product Priced by Attributes is set to YES  <br /><br />    The attribute prices are defined without the price prefix of +  <br /><br />    The Display Price is made up of the lowest attribute price from each Option Name group.  <br /><br />    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br /><br />    The price prefix of the + is not used as we are not "adding" to the display price.  <br /><br />    The Colors attributes are, their prices before the Special discount is applied:<br />  White $499.99<br />  Black $519.00<br />  Blue $539.00  <br /><br />    The Specials Price is a flat $100 discount. This $100 discount is applied to all attributes marked attributes_discounted Yes.	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	Hewlett Packard - by attributes with Special% no SALE	The Product Price is set to 0.00 Special is set to 20%  <br /><br />    The Product Priced by Attributes is set to YES  <br /><br />    The attribute prices are defined without the price prefix of +  <br /><br />    The Display Price is made up of the lowest attribute price from each Option Name group.  <br /><br />    If there had been a Product Price, this would have been added together to the lowest attributes price from each of the Option Name groups to make up the display price.  <br /><br />    The price prefix of the + is not used as we are not "adding" to the display price.  <br /><br />    The Colors attributes are, their prices before the Special discount is applied:<br />  White $499.99<br />  Black $519.00<br />  Blue $539.00  <br /><br />    The Specials Price is a flat $100 discount. This $100 discount is applied to all attributes marked attributes_discounted Yes.	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100				0	45	0000-00-00 00:00:00	2004-01-02 15:34:49	669	Hewlett Packard	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
GIFT005	gift_certificates/gv_5.gif	Gift Certificate $  5.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		Gift Certificate $  5.00	Purchase a Gift Certificate today to share with your family, friends or business associates!					5	0	0000-00-00 00:00:00	2003-11-03 12:32:17	999		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
GIFT 010	gift_certificates/gv_10.gif	Gift Certificate $ 10.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		Gift Certificate $ 10.00	Purchase a Gift Certificate today to share with your family, friends or business associates!					10	0	0000-00-00 00:00:00	2003-11-03 12:32:17	860		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
GIFT025	gift_certificates/gv_25.gif	Gift Certificate $ 25.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		Gift Certificate $ 25.00	Purchase a Gift Certificate today to share with your family, friends or business associates!					25	0	0000-00-00 00:00:00	2003-11-03 12:32:17	992		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
GIFT050	gift_certificates/gv_50.gif	Gift Certificate $ 50.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		Gift Certificate $ 50.00	Purchase a Gift Certificate today to share with your family, friends or business associates!					50	0	0000-00-00 00:00:00	2003-11-03 12:32:17	997		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
GIFT100	gift_certificates/gv_100.gif	Gift Certificate $100.00	Purchase a Gift Certificate today to share with your family, friends or business associates!		Gift Certificate $100.00	Purchase a Gift Certificate today to share with your family, friends or business associates!					100	0	0000-00-00 00:00:00	2003-11-03 12:32:17	995		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
hs0011111111	s/AF1635_b.jpg	HUNSHA 001	HUNSHA DES		HUNSHA 001	HUNSHA DES					199	0		2008-12-02 23:56:00	1000		HP	Ink						--none--	1	EOREOR
TESTMINUNITSNOMIX	sample_image.gif	A Mixed OFF Product with Attributes	This product has attributes and a minimum qty and units.  <br /><br />    Mixed is OFF this means you CANNOT mix attributes to make the minimums and units.  <br /><br />    The Size Option Value: Select from Below ... is a Display Only Attribute.   <br /><br />    This means that the product cannot be added to the Shopping Cart if that Option Value is selected. If it is still selected, then an error is triggered when the Add to Cart is pressed with a warning to the customer on what the error is.  <br /><br />    No checkout is allowed when errors exist.		A Mixed OFF Product with Attributes	This product has attributes and a minimum qty and units.  <br /><br />    Mixed is OFF this means you CANNOT mix attributes to make the minimums and units.  <br /><br />    The Size Option Value: Select from Below ... is a Display Only Attribute.   <br /><br />    This means that the product cannot be added to the Shopping Cart if that Option Value is selected. If it is still selected, then an error is triggered when the Add to Cart is pressed with a warning to the customer on what the error is.  <br /><br />    No checkout is allowed when errors exist.		90.0000	0001-01-01	0001-01-01	100	1	0000-00-00 00:00:00	2003-12-25 21:38:59	995		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
TESTMINUNITSMIX	sample_image.gif	A Mixed ON Product with Attributes	This product has attributes and a minimum qty and units.  <br /><br />    Mixed is ON this means you CAN mix attributes to make the minimums and units.  <br /><br />    Select from Below is a Display Only Attribute. This means that it cannot be added to the cart. If it is, then an error is triggered.  <br /><br />    No checkout is allowed when errors exist.		A Mixed ON Product with Attributes	This product has attributes and a minimum qty and units.  <br /><br />    Mixed is ON this means you CAN mix attributes to make the minimums and units.  <br /><br />    Select from Below is a Display Only Attribute. This means that it cannot be added to the cart. If it is, then an error is triggered.  <br /><br />    No checkout is allowed when errors exist.		90.0000	0001-01-01	0001-01-01	100	1	0000-00-00 00:00:00	2003-12-25 21:53:07	981		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
GIFT	../images/gift_certificates/medium//gv.gif	Gift Certificates by attributes	<p>Priced by Attributes Gift Certificates.</p>		Gift Certificates by attributes	<p>Priced by Attributes Gift Certificates.</p>					33	0	0000-00-00 00:00:00	2003-12-27 22:56:57	9996		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	1	EOREOR
TEST1	1_small.jpg	Test 1	This is a test product for copying and deleting attributes.  <br /><br />  All of the images for this product are in the main /images directory and /large directory.  <br /><br />  The main products_image is called 1_small.jpg  <br /><br />  There are additional images for this product that will auto load located in /images called:<br />  1_small_01.jpg<br />  1_small_02.jpg<br />  1_small_03.jpg<br />  <br />  The large additional images are in /images/large called:<br />  1_small_01_LRG.jpg<br />  1_small_02_LRG.jpg<br />  1_small_03_LRG.jpg<br />    <br /><br />    The naming conventions for the additional images do not require that they be numeric. Using the numberic system helps establish the sort order of the images and how they will display.  <br /><br />    What is important is that all the additional images be located in the same directory and start with the same name: 1_small and end in the same extenion: .jpg  <br /><br />    The additional large images need to be located in the /large directory and use the same name plus the Large image suffix, defined in the Admin ... Images ... in this case _LRG  <br /><br />		Test 1	This is a test product for copying and deleting attributes.  <br /><br />  All of the images for this product are in the main /images directory and /large directory.  <br /><br />  The main products_image is called 1_small.jpg  <br /><br />  There are additional images for this product that will auto load located in /images called:<br />  1_small_01.jpg<br />  1_small_02.jpg<br />  1_small_03.jpg<br />  <br />  The large additional images are in /images/large called:<br />  1_small_01_LRG.jpg<br />  1_small_02_LRG.jpg<br />  1_small_03_LRG.jpg<br />    <br /><br />    The naming conventions for the additional images do not require that they be numeric. Using the numberic system helps establish the sort order of the images and how they will display.  <br /><br />    What is important is that all the additional images be located in the same directory and start with the same name: 1_small and end in the same extenion: .jpg  <br /><br />    The additional large images need to be located in the /large directory and use the same name plus the Large image suffix, defined in the Admin ... Images ... in this case _LRG  <br /><br />					39	1	0000-00-00 00:00:00	2003-12-28 02:27:47	9990		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
TEST2	2_small.jpg	Test 2	This is a test product for copying and deleting attributes.  <br /><br />    This was made using the Attributes Copy to Product in the new Admin ... Catalog ... Attributes Controller ... and copying the Attributes from the Test 1 product to Test 2.  <br /><br />    This product does not have any additional images.  <br /><br />    It does have a Large image located in /large  <br /><br />    This uses the same name: 2_small plus the large image suffix _LRG plus the matching extension .jpg to give the new name: /images/large/2_small_LRG.jpg  <br /><br />		Test 2	This is a test product for copying and deleting attributes.  <br /><br />    This was made using the Attributes Copy to Product in the new Admin ... Catalog ... Attributes Controller ... and copying the Attributes from the Test 1 product to Test 2.  <br /><br />    This product does not have any additional images.  <br /><br />    It does have a Large image located in /large  <br /><br />    This uses the same name: 2_small plus the large image suffix _LRG plus the matching extension .jpg to give the new name: /images/large/2_small_LRG.jpg  <br /><br />					20	0.5	0000-00-00 00:00:00	2003-12-28 02:28:42	900		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
TEST3	3_small.jpg	Test 3	This is a test product for copying and deleting attributes.  <br /><br />    This was made using the Attributes Copy to Product in the new Admin ... Catalog ... Attributes Controller ... and copying the attributes from the Test 2 product to Test 3.  <br /><br />    This product does not have any additional images.  <br /><br />    It does NOT have a Large image located in /large  <br /><br />    This means that when you click on the image for enlarge, unless the original image is larger than the small image settings you will see the same image in the popup.  <br /><br />		Test 3	This is a test product for copying and deleting attributes.  <br /><br />    This was made using the Attributes Copy to Product in the new Admin ... Catalog ... Attributes Controller ... and copying the attributes from the Test 2 product to Test 3.  <br /><br />    This product does not have any additional images.  <br /><br />    It does NOT have a Large image located in /large  <br /><br />    This means that when you click on the image for enlarge, unless the original image is larger than the small image settings you will see the same image in the popup.  <br /><br />					75	1.5	0000-00-00 00:00:00	2003-12-28 02:29:37	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
